							Integrated Y1	Integrated Y 2	Integrated Y 3
	20120613_Lumatec2_Filter0_5cm_geringe_Leitstung_0.7W.txt	20120613_Lumatec2_Filter3_5cm_geringe_Leistung_0.36W.txt	20120623_Lumatec2_Filter1_5cm_geringeLeistung_0.39W.txt		Lumatec 2 Filter 3 skaliert		20120613_Lumatec2_Filter0_5cm_geringe_Leitstung_0.7W.txt	20120613_Lumatec2_Filter3_5cm_geringe_Leistung_0.36W.txt	20120623_Lumatec2_Filter1_5cm_geringeLeistung_0.39W.txt
445,81	1003,1	0,70746	1003,4		0,35373		52007,171099	61648,38951115	92817,274606
446,59	943,5	0,69648	946,6		0,34824		52766,345099	61648,93704775	93577,774606
447,37	896,27	0,69014	900,91		0,34507		53483,855399	61649,47782955	94298,303506
448,15	854,96	0,67832	860,95		0,33916		54166,835099	61650,01152895	94985,428906
448,93	817,78	0,66961	825,19		0,334805		54819,203699	61650,53722165	95643,023506
449,71	783,45	0,65595	792,29		0,327975		55443,683399	61651,05419005	96273,840706
450,49	751,94	0,64187	762,09		0,320935		56042,485499	61651,56033985	96880,048906
451,27	722,77	0,63721	734,19		0,318605		56617,622399	61652,05918105	97463,598106
452,05	696,6	0,62708	709,02		0,31354		57171,176699	61652,55225415	98026,450006
452,82	673,28	0,61865	686,58		0,309325		57698,580499	61653,0318602	98563,756006
453,6	652,95	0,60922	666,85		0,30461		58215,810199	61653,5107295	99091,593706
454,38	635,16	0,60166	649,33		0,30083		58718,173099	61653,9829727	99604,903906
455,16	618,88	0,59479	633,12		0,297395		59207,248699	61654,4495882	100105,059406
455,94	603,37	0,58517	617,45		0,292585		59683,926199	61654,9097726	100592,781706
456,72	588,89	0,57791	602,48		0,288955		60148,907599	61655,3633738	101068,554406
457,49	575,41	0,57075	588,27		0,285375		60597,163099	61655,8056079	101526,993156
458,27	562,82	0,56528	574,75		0,28264		61041,072799	61656,2486596	101980,570956
459,05	550,73	0,56496	561,54		0,28248		61475,357299	61656,6894532	102423,724056
459,83	538,95	0,55372	548,59		0,27686		61900,332499	61657,1257384	102856,674756
460,61	527,42	0,54882	535,81		0,27441		62316,216799	61657,555729	103279,590756
461,38	516,09	0,54194	523,15		0,27097		62717,968149	61657,9756716	103687,290356
462,16	505,46	0,5358	511,13		0,2679		63116,372649	61658,3959902	104090,659556
462,94	495,67	0,52982	500,01		0,26491		63506,813349	61658,811582	104485,004156
463,72	487,89	0,52592	490,89		0,26296		63890,401749	61659,2233206	104871,455156
464,49	482,5	0,52246	484,25		0,26123		64264,001899	61659,6269469	105246,884056
465,27	479,37	0,51594	479,95		0,25797		64639,131199	61660,0319229	105622,922056
466,05	478,09	0,51023	477,56		0,255115		65012,540599	61660,4321292	105996,350956
466,83	478,44	0,50509	477,01		0,252545		65385,587299	61660,828104	106368,633256
467,6	480,3	0,49711	478,08		0,248555		65754,702199	61661,213951	106736,342906
468,38	483,42	0,4939	480,5		0,24695		66130,552999	61661,6004449	107110,189106
469,16	487,08	0,48726	483,66		0,24363		66509,047999	61661,9830973	107486,211506
469,93	491,02	0,48224	487,24		0,24112		66885,616499	61662,3563548	107860,008006
470,71	494,25	0,47519	490,25		0,237595		67269,871799	61662,7297525	108241,229106
471,49	496,62	0,46792	492,55		0,23396		67656,311099	61663,0975654	108624,521106
472,26	497,28	0,45983	493,41		0,229915		68038,962599	61663,45474915	109004,115706
473,04	496,39	0,45352	492,71		0,22676		68426,493899	61663,81095565	109388,702506
